,index,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,adult_femail
45,60,0,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,False
46,61,1,1,female,38.0,0,0,80.0,,First,woman,False,B,,yes,True,False
47,62,0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,False
48,63,0,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,False
49,66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,False
50,67,0,3,male,19.0,0,0,8.1583,S,Third,man,True,,Southampton,no,True,False
51,68,1,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False,False
52,69,0,3,male,26.0,2,0,8.6625,S,Third,man,True,,Southampton,no,False,False
53,70,0,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,False
54,71,0,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False,False
55,72,0,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True,False
56,73,0,3,male,26.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False,False
57,74,1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,False
58,75,0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,False
59,78,1,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False,False
60,79,1,3,female,30.0,0,0,12.475,S,Third,woman,False,,Southampton,yes,True,False
61,80,0,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True,False
62,81,1,3,male,29.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,False
63,83,0,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True,False
64,84,1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,False
65,85,1,3,female,33.0,3,0,15.85,S,Third,woman,False,,Southampton,yes,False,False
66,86,0,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False,False
67,88,1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,False
68,89,0,3,male,24.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
69,90,0,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
70,91,0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,False
71,92,0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,False
72,93,0,3,male,26.0,1,2,20.575,S,Third,man,True,,Southampton,no,False,False
73,94,0,3,male,59.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,False
74,96,0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,False
75,97,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,False
76,98,1,2,female,34.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False,False
77,99,0,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,False
78,100,0,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True,False
79,102,0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,False
80,103,0,3,male,33.0,0,0,8.6542,S,Third,man,True,,Southampton,no,True,False
81,104,0,3,male,37.0,2,0,7.925,S,Third,man,True,,Southampton,no,False,False
82,105,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,False
83,106,1,3,female,21.0,0,0,7.65,S,Third,woman,False,,Southampton,yes,True,False
84,108,0,3,male,38.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,False
85,110,0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,False
86,111,0,3,female,14.5,1,0,14.4542,C,Third,child,False,,Cherbourg,no,False,False
87,112,0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
88,113,0,3,female,20.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False,False
89,114,0,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True,False
90,115,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,False
91,116,0,3,male,70.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,False
92,117,0,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,False
93,118,0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,False
94,119,0,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,False
95,120,0,2,male,21.0,2,0,73.5,S,Second,man,True,,Southampton,no,False,False
96,122,0,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False,False
97,123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,False
98,124,0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,False
99,125,1,3,male,12.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,False
100,127,1,3,male,24.0,0,0,7.1417,S,Third,man,True,,Southampton,yes,True,False
101,129,0,3,male,45.0,0,0,6.975,S,Third,man,True,,Southampton,no,True,False
102,130,0,3,male,33.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,False
103,131,0,3,male,20.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,False
104,132,0,3,female,47.0,1,0,14.5,S,Third,woman,False,,Southampton,no,False,False
105,133,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,False
106,134,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,False
107,135,0,2,male,23.0,0,0,15.0458,C,Second,man,True,,Cherbourg,no,True,False
108,136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,False
109,137,0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,False
110,138,0,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True,False
111,139,0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,False
112,141,1,3,female,22.0,0,0,7.75,S,Third,woman,False,,Southampton,yes,True,False
113,142,1,3,female,24.0,1,0,15.85,S,Third,woman,False,,Southampton,yes,False,False
114,143,0,3,male,19.0,0,0,6.75,Q,Third,man,True,,Queenstown,no,True,False
115,144,0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True,False
116,145,0,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False,False
117,146,1,3,male,27.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True,False
118,147,0,3,female,9.0,2,2,34.375,S,Third,child,False,,Southampton,no,False,False
119,148,0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,False
120,149,0,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,False
121,150,0,2,male,51.0,0,0,12.525,S,Second,man,True,,Southampton,no,True,False
122,151,1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,False
123,152,0,3,male,55.5,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
124,153,0,3,male,40.5,0,2,14.5,S,Third,man,True,,Southampton,no,False,False
125,155,0,1,male,51.0,0,1,61.3792,C,First,man,True,,Cherbourg,no,False,False
126,156,1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True,False
127,157,0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
128,160,0,3,male,44.0,0,1,16.1,S,Third,man,True,,Southampton,no,False,False
129,161,1,2,female,40.0,0,0,15.75,S,Second,woman,False,,Southampton,yes,True,False
130,162,0,3,male,26.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,False
131,163,0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,False
132,164,0,3,male,1.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,False
133,165,1,3,male,9.0,0,2,20.525,S,Third,child,False,,Southampton,yes,False,False
134,167,0,3,female,45.0,1,4,27.9,S,Third,woman,False,,Southampton,no,False,False
135,169,0,3,male,28.0,0,0,56.4958,S,Third,man,True,,Southampton,no,True,False
136,170,0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,False
137,171,0,3,male,4.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,False
138,172,1,3,female,1.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False,False
139,173,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,False
140,174,0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,False
141,175,0,3,male,18.0,1,1,7.8542,S,Third,man,True,,Southampton,no,False,False
142,177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,False
143,178,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,False
144,179,0,3,male,36.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,False
145,182,0,3,male,9.0,4,2,31.3875,S,Third,child,False,,Southampton,no,False,False
146,183,1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,False
147,184,1,3,female,4.0,0,2,22.025,S,Third,child,False,,Southampton,yes,False,False
148,187,1,1,male,45.0,0,0,26.55,S,First,man,True,,Southampton,yes,True,False
149,188,0,3,male,40.0,1,1,15.5,Q,Third,man,True,,Queenstown,no,False,False
150,189,0,3,male,36.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,False
151,190,1,2,female,32.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,False
152,191,0,2,male,19.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,False
153,192,1,3,female,19.0,1,0,7.8542,S,Third,woman,False,,Southampton,yes,False,False
154,193,1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,False
155,194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,False
156,195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,False
157,197,0,3,male,42.0,0,1,8.4042,S,Third,man,True,,Southampton,no,False,False
158,199,0,2,female,24.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True,False
159,200,0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,False
160,202,0,3,male,34.0,0,0,6.4958,S,Third,man,True,,Southampton,no,True,False
161,203,0,3,male,45.5,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,False
162,204,1,3,male,18.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,False
163,205,0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,False
164,206,0,3,male,32.0,1,0,15.85,S,Third,man,True,,Southampton,no,False,False
165,207,1,3,male,26.0,0,0,18.7875,C,Third,man,True,,Cherbourg,yes,True,False
166,208,1,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,False
167,209,1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True,False
168,210,0,3,male,24.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,False
169,211,1,2,female,35.0,0,0,21.0,S,Second,woman,False,,Southampton,yes,True,False
170,212,0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,False
171,213,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,False
172,215,1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,False
173,216,1,3,female,27.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,False
174,217,0,2,male,42.0,1,0,27.0,S,Second,man,True,,Southampton,no,False,False
175,218,1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True,False
176,219,0,2,male,30.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,False
177,220,1,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,False
178,221,0,2,male,27.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,False
179,222,0,3,male,51.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
180,224,1,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False,False
181,225,0,3,male,22.0,0,0,9.35,S,Third,man,True,,Southampton,no,True,False
182,226,1,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,yes,True,False
183,227,0,3,male,20.5,0,0,7.25,S,Third,man,True,,Southampton,no,True,False
184,228,0,2,male,18.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,False
185,230,1,1,female,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False,False
186,231,0,3,male,29.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,False
187,232,0,2,male,59.0,0,0,13.5,S,Second,man,True,,Southampton,no,True,False
188,233,1,3,female,5.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False,False
189,234,0,2,male,24.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,False
190,236,0,2,male,44.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,False
191,237,1,2,female,8.0,0,2,26.25,S,Second,child,False,,Southampton,yes,False,False
192,238,0,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,False
193,239,0,2,male,33.0,0,0,12.275,S,Second,man,True,,Southampton,no,True,False
194,242,0,2,male,29.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,False
195,243,0,3,male,22.0,0,0,7.125,S,Third,man,True,,Southampton,no,True,False
196,244,0,3,male,30.0,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,False
197,245,0,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False,False
198,246,0,3,female,25.0,0,0,7.775,S,Third,woman,False,,Southampton,no,True,False
199,247,1,2,female,24.0,0,2,14.5,S,Second,woman,False,,Southampton,yes,False,False
200,248,1,1,male,37.0,1,1,52.5542,S,First,man,True,D,Southampton,yes,False,False
201,249,0,2,male,54.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,False
202,251,0,3,female,29.0,1,1,10.4625,S,Third,woman,False,G,Southampton,no,False,False
203,252,0,1,male,62.0,0,0,26.55,S,First,man,True,C,Southampton,no,True,False
204,253,0,3,male,30.0,1,0,16.1,S,Third,man,True,,Southampton,no,False,False
205,254,0,3,female,41.0,0,2,20.2125,S,Third,woman,False,,Southampton,no,False,False
206,255,1,3,female,29.0,0,2,15.2458,C,Third,woman,False,,Cherbourg,yes,False,False
207,257,1,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,False
208,258,1,1,female,35.0,0,0,512.3292,C,First,woman,False,,Cherbourg,yes,True,False
209,259,1,2,female,50.0,0,1,26.0,S,Second,woman,False,,Southampton,yes,False,False
210,261,1,3,male,3.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False,False
211,262,0,1,male,52.0,1,1,79.65,S,First,man,True,E,Southampton,no,False,False
212,263,0,1,male,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True,False
213,265,0,2,male,36.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,False
214,266,0,3,male,16.0,4,1,39.6875,S,Third,man,True,,Southampton,no,False,False
215,267,1,3,male,25.0,1,0,7.775,S,Third,man,True,,Southampton,yes,False,False
216,268,1,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False,False
217,269,1,1,female,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True,False
218,271,1,3,male,25.0,0,0,0.0,S,Third,man,True,,Southampton,yes,True,False
219,272,1,2,female,41.0,0,1,19.5,S,Second,woman,False,,Southampton,yes,False,False
220,273,0,1,male,37.0,0,1,29.7,C,First,man,True,C,Cherbourg,no,False,False
221,275,1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False,False
222,276,0,3,female,45.0,0,0,7.75,S,Third,woman,False,,Southampton,no,True,False
223,278,0,3,male,7.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,False
224,279,1,3,female,35.0,1,1,20.25,S,Third,woman,False,,Southampton,yes,False,False
225,280,0,3,male,65.0,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,False
226,281,0,3,male,28.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,False
227,282,0,3,male,16.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,False
228,283,1,3,male,19.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,False
229,285,0,3,male,33.0,0,0,8.6625,C,Third,man,True,,Cherbourg,no,True,False
230,286,1,3,male,30.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,False
231,287,0,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,False
232,288,1,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,yes,True,False
233,289,1,3,female,22.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,False
234,290,1,1,female,26.0,0,0,78.85,S,First,woman,False,,Southampton,yes,True,False
235,291,1,1,female,19.0,1,0,91.0792,C,First,woman,False,B,Cherbourg,yes,False,False
236,292,0,2,male,36.0,0,0,12.875,C,Second,man,True,D,Cherbourg,no,True,False
237,293,0,3,female,24.0,0,0,8.85,S,Third,woman,False,,Southampton,no,True,False
238,294,0,3,male,24.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,False
239,296,0,3,male,23.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,False
240,297,0,1,female,2.0,1,2,151.55,S,First,child,False,C,Southampton,no,False,False
241,299,1,1,female,50.0,0,1,247.5208,C,First,woman,False,B,Cherbourg,yes,False,False
242,302,0,3,male,19.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,False
243,305,1,1,male,0.92,1,2,151.55,S,First,child,False,C,Southampton,yes,False,False
244,307,1,1,female,17.0,1,0,108.9,C,First,woman,False,C,Cherbourg,yes,False,False
245,308,0,2,male,30.0,1,0,24.0,C,Second,man,True,,Cherbourg,no,False,False
246,309,1,1,female,30.0,0,0,56.9292,C,First,woman,False,E,Cherbourg,yes,True,False
247,310,1,1,female,24.0,0,0,83.1583,C,First,woman,False,C,Cherbourg,yes,True,False
248,311,1,1,female,18.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False,False
249,312,0,2,female,26.0,1,1,26.0,S,Second,woman,False,,Southampton,no,False,False
250,313,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,False
251,314,0,2,male,43.0,1,1,26.25,S,Second,man,True,,Southampton,no,False,False
252,315,1,3,female,26.0,0,0,7.8542,S,Third,woman,False,,Southampton,yes,True,False
253,316,1,2,female,24.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,False
254,317,0,2,male,54.0,0,0,14.0,S,Second,man,True,,Southampton,no,True,False
255,318,1,1,female,31.0,0,2,164.8667,S,First,woman,False,C,Southampton,yes,False,False
256,319,1,1,female,40.0,1,1,134.5,C,First,woman,False,E,Cherbourg,yes,False,False
257,320,0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,False
258,321,0,3,male,27.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,False
259,322,1,2,female,30.0,0,0,12.35,Q,Second,woman,False,,Queenstown,yes,True,False
260,323,1,2,female,22.0,1,1,29.0,S,Second,woman,False,,Southampton,yes,False,False
261,325,1,1,female,36.0,0,0,135.6333,C,First,woman,False,C,Cherbourg,yes,True,False
262,326,0,3,male,61.0,0,0,6.2375,S,Third,man,True,,Southampton,no,True,False
263,327,1,2,female,36.0,0,0,13.0,S,Second,woman,False,D,Southampton,yes,True,False
264,328,1,3,female,31.0,1,1,20.525,S,Third,woman,False,,Southampton,yes,False,False
265,329,1,1,female,16.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False,False
266,331,0,1,male,45.5,0,0,28.5,S,First,man,True,C,Southampton,no,True,False
267,332,0,1,male,38.0,0,1,153.4625,S,First,man,True,C,Southampton,no,False,False
268,333,0,3,male,16.0,2,0,18.0,S,Third,man,True,,Southampton,no,False,False
269,336,0,1,male,29.0,1,0,66.6,S,First,man,True,C,Southampton,no,False,False
270,337,1,1,female,41.0,0,0,134.5,C,First,woman,False,E,Cherbourg,yes,True,False
271,338,1,3,male,45.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,False
272,339,0,1,male,45.0,0,0,35.5,S,First,man,True,,Southampton,no,True,False
273,340,1,2,male,2.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,False
274,341,1,1,female,24.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,False
275,342,0,2,male,28.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,False
276,343,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,False
277,344,0,2,male,36.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,False
278,345,1,2,female,24.0,0,0,13.0,S,Second,woman,False,F,Southampton,yes,True,False
279,346,1,2,female,40.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,False
280,348,1,3,male,3.0,1,1,15.9,S,Third,child,False,,Southampton,yes,False,False
281,349,0,3,male,42.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,False
282,350,0,3,male,23.0,0,0,9.225,S,Third,man,True,,Southampton,no,True,False
283,352,0,3,male,15.0,1,1,7.2292,C,Third,child,False,,Cherbourg,no,False,False
284,353,0,3,male,25.0,1,0,17.8,S,Third,man,True,,Southampton,no,False,False
285,355,0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,False
286,356,1,1,female,22.0,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,False
287,357,0,2,female,38.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True,False
288,360,0,3,male,40.0,1,4,27.9,S,Third,man,True,,Southampton,no,False,False
289,361,0,2,male,29.0,1,0,27.7208,C,Second,man,True,,Cherbourg,no,False,False
290,362,0,3,female,45.0,0,1,14.4542,C,Third,woman,False,,Cherbourg,no,False,False
291,363,0,3,male,35.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,False
292,365,0,3,male,30.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,False
293,366,1,1,female,60.0,1,0,75.25,C,First,woman,False,D,Cherbourg,yes,False,False
294,369,1,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True,False
295,370,1,1,male,25.0,1,0,55.4417,C,First,man,True,E,Cherbourg,yes,False,False
296,371,0,3,male,18.0,1,0,6.4958,S,Third,man,True,,Southampton,no,False,False
297,372,0,3,male,19.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
298,373,0,1,male,22.0,0,0,135.6333,C,First,man,True,,Cherbourg,no,True,False
299,374,0,3,female,3.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,False
300,376,1,3,female,22.0,0,0,7.25,S,Third,woman,False,,Southampton,yes,True,False
301,377,0,1,male,27.0,0,2,211.5,C,First,man,True,C,Cherbourg,no,False,False
302,378,0,3,male,20.0,0,0,4.0125,C,Third,man,True,,Cherbourg,no,True,False
303,379,0,3,male,19.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,False
304,380,1,1,female,42.0,0,0,227.525,C,First,woman,False,,Cherbourg,yes,True,False
305,381,1,3,female,1.0,0,2,15.7417,C,Third,child,False,,Cherbourg,yes,False,False
306,382,0,3,male,32.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,False
307,383,1,1,female,35.0,1,0,52.0,S,First,woman,False,,Southampton,yes,False,False
308,385,0,2,male,18.0,0,0,73.5,S,Second,man,True,,Southampton,no,True,False
309,386,0,3,male,1.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,False
310,387,1,2,female,36.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,False
311,389,1,2,female,17.0,0,0,12.0,C,Second,woman,False,,Cherbourg,yes,True,False
